unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
1,loop,loop investigation 1,2026-07-27,NA,NA,plausibility,,mined from round report/controls,search/test,analysis-set assembly and featurisation,ICSD+COD+MP+Alexandria+ELEMENTA+LeMat,infrastructure (no endpoint),"99,162 experimental structures assembled; 38,307 single-anion analysis set",unmarked,"pipeline/pilot_featurize.py 2026-07-27 06:36; src/build_energetics.py, build_icsd_meta.py, build_cod_delta.py, build_provenance.py, build_features.py mtimes 2026-07-28 00:56-05:33; PREREG.md sec 1"
2,loop,loop investigation 2,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,Pauling five-rule audit reproduction,experimental structures (George 2020 protocol),satisfaction of Pauling rules 2-5 jointly,0.0651 joint satisfaction (George published 0.13); algorithm spread up to 5.74 pp on rule 4,diagnostic-only,"src/pauling_radii.py, reproduce_george.py, measure_deff.py, george_table.py mtimes 2026-07-28 07:30-07:45; paper/FACTS.md sec 3"
3,loop,loop investigation 3,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,pre-registration and split seal,analysis set,protocol (no endpoint),"split 22,925 discovery / 9,634 calibration / 5,748 sealed; 3 openings permitted",unmarked,src/seal_lockbox.py mtime 2026-07-28 08:18; PREREG.md v1.0 git ec4b464 08:31; revisions R1/R2 git da563b1 08:43
4,loop,loop investigation 4,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,first frozen-vocabulary rule search on discovery,discovery split real vs perturbed,real-vs-perturbed satisfaction/exclusion,D1 (rho >= 0.735) selected; satisfaction 0.9915 / exclusion 0.3634 as recorded then (4-class negatives),pass,src/search_rules.py 2026-07-28 11:44; report_rules.py 12:06; assemble_set.py 12:30; notes/结果总结.md sec 二
5,loop,loop investigation 5,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,charge-topology (T1) track vs Pauling rule 4,discovery split,coordination-environment prediction vs mode-lookup baseline,NA (superseded by the clean re-search of round 6),unmarked,"src/t1_prior_bs.py, t1_pauling4.py, t1_prior_vs_pauling.py, search_t1.py mtimes 2026-07-28 12:53-13:43"
6,loop,loop investigation 6,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,leakage guard and clean T1 re-search; T0 candidate confirmation,discovery split,coordination prediction with leakage guard,NA,unmarked,"src/leakguard.py 22:16, search_t1_clean.py 22:20, confirm_t0_candidate.py 22:27"
7,loop,loop investigation 7,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,"discrimination search, guarded rules, polymorph ranking prototypes",discovery split; MP polymorphs,real-vs-perturbed discrimination; polymorph ranking,NA,unmarked,"src/search_discriminate.py 22:38, polymorph_rank.py 22:40, polymorph_rank2.py 22:43, search_guarded.py 22:54, discriminate.py 22:59"
8,loop,loop investigation 8,2026-07-28,NA,NA,plausibility,,mined from round report/controls,search/test,site-level and bond-valence judging; first joint rule-set search,discovery split,real-vs-perturbed satisfaction/exclusion,NA,unmarked,"src/site_level.py 23:26, bv_judge.py 23:31, real_rank.py 23:35, eval_real.py 23:38, final_search.py 23:44"
9,loop,loop investigation 9,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,symbolic-regression law track and physical-feature expansion,discovery split; LeMat DFT-relaxed candidates,law form search,PySR checkpoint archived (outputs/20260729_001654_VOvPTE),no-gain,"src/sr_law.py 00:20, phys_feat.py 00:27, phys_lemat.py 00:32; outputs/20260729_001654_VOvPTE/hall_of_fame.csv"
10,loop,loop investigation 10,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,LeMat ranking and full-population satisfaction; first assembled rule sets,all real structures; LeMat candidates,satisfaction; false-positive gap,NA,unmarked,"src/lemat_rank.py 02:16, real_all.py 02:23, satisfy_rules.py 02:26, final_rules.py 02:34, feat2.py 02:39, site_match.py 03:01, feat3.py/site_signed.py 03:10"
