scope,score_model,outcome,n,score_unique_values,outcome_unique_values,spearman_rho,pvalue,pvalue_note
global,CLscore_A,L2:pass,8108676,827491,2,0.3145011038505107,,not reported; descriptive association on the complete score support
global,CLscore_B,L2:pass,8108676,911376,2,0.32894627118450337,,not reported; descriptive association on the complete score support
global,CLscore_jang,L2:pass,8108676,989827,2,0.17522545350574484,,not reported; descriptive association on the complete score support
global,CLscore_A,L2:explicit_violation,8108676,827491,2,0.05323041722991665,,not reported; descriptive association on the complete score support
global,CLscore_B,L2:explicit_violation,8108676,911376,2,0.03973595229332154,,not reported; descriptive association on the complete score support
global,CLscore_jang,L2:explicit_violation,8108676,989827,2,0.08738992166327758,,not reported; descriptive association on the complete score support
global,CLscore_A,L2:no_verdict,8108676,827491,2,-0.32004564748672787,,not reported; descriptive association on the complete score support
global,CLscore_B,L2:no_verdict,8108676,911376,2,-0.3274885223664873,,not reported; descriptive association on the complete score support
global,CLscore_jang,L2:no_verdict,8108676,989827,2,-0.20459932578548992,,not reported; descriptive association on the complete score support
global,CLscore_A,L4:pass,8108676,827491,2,0.2552648887305328,,not reported; descriptive association on the complete score support
global,CLscore_B,L4:pass,8108676,911376,2,0.30040216429042843,,not reported; descriptive association on the complete score support
global,CLscore_jang,L4:pass,8108676,989827,2,0.08337991397413014,,not reported; descriptive association on the complete score support
global,CLscore_A,L4:explicit_violation,8108676,827491,2,-0.1445745642810221,,not reported; descriptive association on the complete score support
global,CLscore_B,L4:explicit_violation,8108676,911376,2,-0.1067937607921176,,not reported; descriptive association on the complete score support
global,CLscore_jang,L4:explicit_violation,8108676,989827,2,-0.17158515841030877,,not reported; descriptive association on the complete score support
global,CLscore_A,L4:no_verdict,8108676,827491,2,0.0038805791326843703,,not reported; descriptive association on the complete score support
global,CLscore_B,L4:no_verdict,8108676,911376,2,-0.05823759744161447,,not reported; descriptive association on the complete score support
global,CLscore_jang,L4:no_verdict,8108676,989827,2,0.12456690880459316,,not reported; descriptive association on the complete score support
global,CLscore_A,D1:pass,8108676,827491,2,0.3114501205465369,,not reported; descriptive association on the complete score support
global,CLscore_B,D1:pass,8108676,911376,2,0.3204425449280446,,not reported; descriptive association on the complete score support
global,CLscore_jang,D1:pass,8108676,989827,2,0.1967636473877735,,not reported; descriptive association on the complete score support
global,CLscore_A,D1:explicit_violation,8108676,827491,2,0.05347444088473734,,not reported; descriptive association on the complete score support
global,CLscore_B,D1:explicit_violation,8108676,911376,2,0.04793723544756402,,not reported; descriptive association on the complete score support
global,CLscore_jang,D1:explicit_violation,8108676,989827,2,0.04285307132846983,,not reported; descriptive association on the complete score support
global,CLscore_A,D1:no_verdict,8108676,827491,2,-0.3193763572877929,,not reported; descriptive association on the complete score support
global,CLscore_B,D1:no_verdict,8108676,911376,2,-0.3270332134000049,,not reported; descriptive association on the complete score support
global,CLscore_jang,D1:no_verdict,8108676,989827,2,-0.20377492503828662,,not reported; descriptive association on the complete score support
global,CLscore_A,D2:pass,8108676,827491,2,0.3068073743097126,,not reported; descriptive association on the complete score support
global,CLscore_B,D2:pass,8108676,911376,2,0.3132156411045636,,not reported; descriptive association on the complete score support
global,CLscore_jang,D2:pass,8108676,989827,2,0.18708215747890408,,not reported; descriptive association on the complete score support
global,CLscore_A,D2:explicit_violation,8108676,827491,2,0.010156345877401983,,not reported; descriptive association on the complete score support
global,CLscore_B,D2:explicit_violation,8108676,911376,2,0.0019649291984494073,,not reported; descriptive association on the complete score support
global,CLscore_jang,D2:explicit_violation,8108676,989827,2,0.004615602696083405,,not reported; descriptive association on the complete score support
global,CLscore_A,D2:no_verdict,8108676,827491,2,-0.3068087985225271,,not reported; descriptive association on the complete score support
global,CLscore_B,D2:no_verdict,8108676,911376,2,-0.3121734376931762,,not reported; descriptive association on the complete score support
global,CLscore_jang,D2:no_verdict,8108676,989827,2,-0.18688711986780565,,not reported; descriptive association on the complete score support
global,CLscore_A,D3:pass,8108676,827491,2,0.3267965981960476,,not reported; descriptive association on the complete score support
global,CLscore_B,D3:pass,8108676,911376,2,0.33819047345199743,,not reported; descriptive association on the complete score support
global,CLscore_jang,D3:pass,8108676,989827,2,0.18967577421807458,,not reported; descriptive association on the complete score support
global,CLscore_A,D3:explicit_violation,8108676,827491,2,0.009049897157606823,,not reported; descriptive association on the complete score support
global,CLscore_B,D3:explicit_violation,8108676,911376,2,-0.00431295376355158,,not reported; descriptive association on the complete score support
global,CLscore_jang,D3:explicit_violation,8108676,989827,2,0.060047183576906346,,not reported; descriptive association on the complete score support
global,CLscore_A,D3:no_verdict,8108676,827491,2,-0.31873819406762677,,not reported; descriptive association on the complete score support
global,CLscore_B,D3:no_verdict,8108676,911376,2,-0.3249448907690687,,not reported; descriptive association on the complete score support
global,CLscore_jang,D3:no_verdict,8108676,989827,2,-0.20465254219803183,,not reported; descriptive association on the complete score support
global,CLscore_A,D4:pass,8108676,827491,2,0.31226167547897915,,not reported; descriptive association on the complete score support
global,CLscore_B,D4:pass,8108676,911376,2,0.3164441427695227,,not reported; descriptive association on the complete score support
global,CLscore_jang,D4:pass,8108676,989827,2,0.20133507042581195,,not reported; descriptive association on the complete score support
global,CLscore_A,D4:explicit_violation,8108676,827491,2,0.054350980925271825,,not reported; descriptive association on the complete score support
global,CLscore_B,D4:explicit_violation,8108676,911376,2,0.056719911238132095,,not reported; descriptive association on the complete score support
global,CLscore_jang,D4:explicit_violation,8108676,989827,2,0.03888541929458115,,not reported; descriptive association on the complete score support
global,CLscore_A,D4:no_verdict,8108676,827491,2,-0.3189718419594874,,not reported; descriptive association on the complete score support
global,CLscore_B,D4:no_verdict,8108676,911376,2,-0.32350565727818503,,not reported; descriptive association on the complete score support
global,CLscore_jang,D4:no_verdict,8108676,989827,2,-0.20627371333354594,,not reported; descriptive association on the complete score support
global,CLscore_A,D5:pass,8108676,827491,2,0.31452948886776955,,not reported; descriptive association on the complete score support
global,CLscore_B,D5:pass,8108676,911376,2,0.3188648753625953,,not reported; descriptive association on the complete score support
