unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
1,loop investigation 1,2026-07-27,search/test,analysis-set assembly and featurisation,ICSD+COD+MP+Alexandria+ELEMENTA+LeMat,infrastructure (no endpoint),"99,162 experimental structures assembled; 38,307 single-anion analysis set",unmarked,yes,"pipeline/pilot_featurize.py 2026-07-27 06:36; src/build_energetics.py, build_icsd_meta.py, build_cod_delta.py, build_provenance.py, build_features.py mtimes 2026-07-28 00:56-05:33; PREREG.md sec 1"
2,loop investigation 2,2026-07-28,search/test,Pauling five-rule audit reproduction,experimental structures (George 2020 protocol),satisfaction of Pauling rules 2-5 jointly,0.0651 joint satisfaction (George published 0.13); algorithm spread up to 5.74 pp on rule 4,diagnostic-only,yes,"src/pauling_radii.py, reproduce_george.py, measure_deff.py, george_table.py mtimes 2026-07-28 07:30-07:45; paper/FACTS.md sec 3"
3,loop investigation 3,2026-07-28,search/test,pre-registration and split seal,analysis set,protocol (no endpoint),"split 22,925 discovery / 9,634 calibration / 5,748 sealed; 3 openings permitted",unmarked,yes,src/seal_lockbox.py mtime 2026-07-28 08:18; PREREG.md v1.0 git ec4b464 08:31; revisions R1/R2 git da563b1 08:43
4,loop investigation 4,2026-07-28,search/test,first frozen-vocabulary rule search on discovery,discovery split real vs perturbed,real-vs-perturbed satisfaction/exclusion,D1 (rho >= 0.735) selected; satisfaction 0.9915 / exclusion 0.3634 as recorded then (4-class negatives),pass,yes,src/search_rules.py 2026-07-28 11:44; report_rules.py 12:06; assemble_set.py 12:30; notes/结果总结.md sec 二
5,loop investigation 5,2026-07-28,search/test,charge-topology (T1) track vs Pauling rule 4,discovery split,coordination-environment prediction vs mode-lookup baseline,NA (superseded by the clean re-search of round 6),unmarked,yes,"src/t1_prior_bs.py, t1_pauling4.py, t1_prior_vs_pauling.py, search_t1.py mtimes 2026-07-28 12:53-13:43"
6,loop investigation 6,2026-07-28,search/test,leakage guard and clean T1 re-search; T0 candidate confirmation,discovery split,coordination prediction with leakage guard,NA,unmarked,no,"src/leakguard.py 22:16, search_t1_clean.py 22:20, confirm_t0_candidate.py 22:27"
7,loop investigation 7,2026-07-28,search/test,"discrimination search, guarded rules, polymorph ranking prototypes",discovery split; MP polymorphs,real-vs-perturbed discrimination; polymorph ranking,NA,unmarked,no,"src/search_discriminate.py 22:38, polymorph_rank.py 22:40, polymorph_rank2.py 22:43, search_guarded.py 22:54, discriminate.py 22:59"
8,loop investigation 8,2026-07-28,search/test,site-level and bond-valence judging; first joint rule-set search,discovery split,real-vs-perturbed satisfaction/exclusion,NA,unmarked,no,"src/site_level.py 23:26, bv_judge.py 23:31, real_rank.py 23:35, eval_real.py 23:38, final_search.py 23:44"
9,loop investigation 9,2026-07-29,search/test,symbolic-regression law track and physical-feature expansion,discovery split; LeMat DFT-relaxed candidates,law form search,PySR checkpoint archived (outputs/20260729_001654_VOvPTE),no-gain,yes,"src/sr_law.py 00:20, phys_feat.py 00:27, phys_lemat.py 00:32; outputs/20260729_001654_VOvPTE/hall_of_fame.csv"
10,loop investigation 10,2026-07-29,search/test,LeMat ranking and full-population satisfaction; first assembled rule sets,all real structures; LeMat candidates,satisfaction; false-positive gap,NA,unmarked,no,"src/lemat_rank.py 02:16, real_all.py 02:23, satisfy_rules.py 02:26, final_rules.py 02:34, feat2.py 02:39, site_match.py 03:01, feat3.py/site_signed.py 03:10"
11,loop investigation 11,2026-07-29,search/test,D1 robustness across three neighbour algorithms,calibration real structures,satisfaction spread across CrystalNN/BrunnerNN/MinimumDistanceNN,0.9895 / 0.9883 / 0.9877; spread 0.18 pp (Pauling rule 4: 5.74 pp),pass,yes,src/robust_blmin.py 2026-07-29 04:00; notes/结果总结.md 稳健性自查; paper/FACTS.md sec 3
12,loop investigation 12,2026-07-29,search/test,negative generator rebuilt to five classes (S5 added),discovery + calibration perturbed sets,perturbation-class construction,"S1 1,904 / S2 1,218 / S3 1,905 / S4 1,660 / S5 1,903 on discovery",unmarked,yes,"src/make_negatives.py 04:15, verify_negatives.py 04:20, phys_law.py 04:18, elec_feat.py 04:18, formula2.py 04:26; paper/FACTS.md sec 7"
13,loop investigation 13,2026-07-29,search/test,"guarded rule search, LeMat conjunction false-positive test, final rule sets",discovery/calibration; 295 LeMat DFT-relaxed,real-vs-perturbed satisfaction/exclusion; false-positive gap,"trusted core (D1@0.804,D3,D4,D5) 0.9577/0.6185 and manual fifth rule D6 (fi>0.55) 0.9169/0.7016, as recorded then; six-rule conjunction false-positive gap +5.2 pp traced entirely to the three coordination-number rules",pass,yes,"src/t0_guard.py 04:38, geom_feat.py 04:50, false_positive.py 05:04, rules_final.py 05:05, sym_feat.py 05:18; notes/结果总结.md 可信核心四条 and 手工补的第五条"
15,loop investigation 15,2026-07-29,search/test,"certified-optimal tree frontier, leave-one-perturbation-out collapse, guarded two-sided band",discovery split,real-vs-perturbed satisfaction/exclusion; held-out-class exclusion,"certified tree (depth<=3, cost ratio 2.5) 0.9518/0.6732 on discovery, dominating L2 in distribution, but mean held-out-class exclusion collapses to 0.2318 (single threshold 0.2771); guarded band D2 gives L1' 0.9870/0.3885 with S4 0.002 -> 0.513","mixed: D2 accepted, certified tree refuted out of distribution",yes,"git ce4e35f 2026-07-29 20:56 (commit message records both results); paper/data/fig3_certified_frontier.csv, fig3_loko.csv, band_scan.csv, band_frontier.csv; paper/FACTS.md sec 9-12"
16,loop investigation 16,2026-07-29,search/test,independent re-verification of every reported number in a second environment,stored matrix realmat.npz,numerical reproduction,agreement to four decimal places between two agents in two environments,pass,yes,git e4553cc 2026-07-29 22:44; paper/FACTS.md sec 20
17,NEXT1,2026-07-31,search/test,"frozen P1 descriptor vocabulary (bond-valence, entropy CN, directional asymmetry)",discovery/calibration real vs perturbed,real-vs-perturbed satisfaction/exclusion deltas vs the existing set,"frozen vocab: calibration pooled exclusion +0.0086, min-kind +0.0585, worst-anion satisfaction -0.0227; extended vocab +0.1290 pooled but LOKO macro -0.0286",fail-gate,yes,reports/2026-07-31-better-laws-formulas.md
18,NEXT2,2026-08-01,search/test,"P2 Voronoi solid angle, P3 Hawthorne prior bond strength, P5 iterative Hoppe ECoN/MEFIR (physically isolated splits)",discovery/calibration real vs perturbed,real-vs-perturbed satisfaction/exclusion deltas,calibration pooled exclusion +0.0271 at satisfaction -0.0026; S5 exclusion +0.1888; worst anion layer (nitrides) -0.0342,fail-gate,yes,reports/2026-08-01-p235-isolated.md
19,NEXT3,2026-08-01,search/test,"six descriptor families: P4 ChemEnv CSM, P6 shell gap, P7 polyanion contact, P8 neighbour-algorithm Jaccard, P9 Hawthorne Lewis match, P10 Voronoi free volume",discovery/calibration real vs perturbed,real-vs-perturbed satisfaction/exclusion deltas,calibration exclusion +0.0581 at satisfaction -0.0009 (strongest raw gain of the programme); LOKO macro +0.0258; worst anion -0.0380,fail-gate,yes,reports/2026-08-01-six-families.md
20,NEXT4,2026-08-01,search/test,corrected periodic-neighbour P2/P6/P7/P9; robust per-anion zero-degradation and soft-margin sequential searches,discovery/calibration real vs perturbed; 295 LeMat DFT-relaxed,real-vs-perturbed exclusion deltas; true leave-one-perturbation-kind-out,calibration gain +0.00443; true LOKO macro about -0.10; p9c_bond_mismatch_max <= 2 recurs in 3/5 LOKO refits,fail-gate,yes,reports/2026-08-01-corrected-anion-law-followup.md
21,NEXT5,2026-08-01,search/test,"composition-level valence-confidence guards (z_an_abs, oxi_n_guesses, oxi_unique)",discovery/calibration; post-2019 COD temporal holdout,real-vs-perturbed satisfaction/exclusion deltas,"beam selects no new guard (bit-identical to previous round); diagnosed variant V4: calibration -0.0002 satisfaction / +0.0238 exclusion, temporal holdout +0.0355, S5 0.109 -> 0.391",fail-gate,yes,reports/2026-08-01-valence-guards.md
39,NEXT23,2026-08-02,search/test,B+E two-term law: SIVR cell anisotropy + SCBVE bond-valence vector asymmetry,"WBM blind 8,192 (zero dev-ID overlap)",DFT relaxation structural change (fingerprint diff > 0.10) four preregistered gates,"coverage LCB 0.981173, low-change recall LCB 0.957550, reject precision LCB 0.922516, savings LCB 0.101685; changed AUC 0.749675; all 4 gates pass, Pauling 2-5 all fail",probe-pass,yes,2026-08-02-next23-analytic-relaxation-change-screening.md | docs/plans/2026-08-02-next23-relaxation-collapse-design.md | SSD/workspace_data/newpauling/next23_relaxation_rule_freeze/MANIFEST.json :: candidate_count=17
40,NEXT24,2026-08-03,search/test,frozen B+E law transferred zero-refit,SSAGen CIVAE 256 x0,label-blind prediction freeze; DFT endpoint pending (VASP not run),rejected 255/256 supported; SSAGen risk median 7.950 vs frozen threshold 2.033; min 3.201,unmarked,yes,2026-08-03-next24-ssagen-cross-source-prediction-freeze.md | docs/plans/2026-08-03-next24-generated-cross-source-design.md | artifact mtime: docs/plans/2026-08-03-next24-generated-cross-source-design.md
